"Type","target_date","target_count","target_mins"
"Diaper", "2024-04-19 12:00", 1,
"Diaper", "2024-04-20 12:00", 2,
"Diaper", "2024-04-21 12:00", 3, 
"Diaper", "2024-04-22 12:00", 4,
"Diaper", "2024-04-23 12:00", 5,
"Diaper", "2024-04-24 12:00", 6,
"Diaper", "2024-04-25 12:00", 6,
"Diaper", "2024-04-26 12:00", 6,
"Diaper", "2024-04-27 12:00", 6,
"Diaper", "2024-04-28 12:00", 6,
"Diaper", "2024-04-29 12:00", 6,
"Diaper", "2024-04-30 12:00", 6,
"Diaper", "2024-05-01 12:00", 6,
"Diaper", "2024-05-02 12:00", 6,
"Diaper", "2024-05-03 12:00", 6,
"Diaper", "2024-05-04 12:00", 6,
"Diaper", "2024-05-05 12:00", 6,
"Diaper", "2024-05-06 12:00", 6,
"Tummy time", "2024-04-19 12:00",, 30
"Tummy time", "2024-04-20 12:00",, 30
"Tummy time", "2024-04-21 12:00",, 30
"Tummy time", "2024-04-22 12:00",, 30
"Tummy time", "2024-04-23 12:00",, 30
"Tummy time", "2024-04-24 12:00",, 30
"Tummy time", "2024-04-25 12:00",, 30
"Tummy time", "2024-04-26 12:00",, 30
"Tummy time", "2024-04-27 12:00",, 30
"Tummy time", "2024-04-28 12:00",, 30
"Tummy time", "2024-04-29 12:00",, 30
"Tummy time", "2024-04-30 12:00",, 30
"Sleep", "2024-04-19 12:00",, 840
"Sleep", "2024-04-20 12:00",, 840
"Sleep", "2024-04-21 12:00",, 840
"Sleep", "2024-04-22 12:00",, 840
"Sleep", "2024-04-23 12:00",, 840
"Sleep", "2024-04-24 12:00",, 840
"Sleep", "2024-04-25 12:00",, 840
"Sleep", "2024-04-26 12:00",, 840
"Sleep", "2024-04-27 12:00",, 840
"Sleep", "2024-04-28 12:00",, 840
"Sleep", "2024-04-29 12:00",, 840
"Sleep", "2024-04-30 12:00",, 840